Incident_ID,Asset_ID,Serial_Number,Incident_Date,Issue_Type,Resolution_Days,Repair_Cost
INC000208,AST000312,MIC8338420311,2022-11-11,Software Issue,13,415.97
INC000209,AST000313,MIC4070570312,2024-01-03,Network Issue,3,499.55
INC000210,AST000313,MIC4070570312,2021-11-12,Network Issue,6,474.46
INC000211,AST000322,APP8817700321,2022-02-01,Software Issue,1,91.05
INC000212,AST000322,APP8817700321,2020-05-24,Hardware Failure,10,189.09
INC000213,AST000323,HP4673350322,2021-12-20,Hardware Failure,3,423.66
INC000214,AST000324,LEN5471810323,2022-05-27,Software Issue,15,111.88
INC000215,AST000324,LEN5471810323,2021-01-11,Software Issue,2,54.78
INC000216,AST000336,APP4032570335,2021-12-21,Performance Issue,4,110.77
INC000217,AST000336,APP4032570335,2021-07-30,Hardware Failure,11,54.2
INC000218,AST000342,HP3641320341,2022-12-28,Software Issue,3,421.94
INC000219,AST000347,DEL1843650346,2020-03-20,Hardware Failure,4,123.17
INC000220,AST000358,LEN5808540357,2022-04-07,Performance Issue,5,188.69
INC000221,AST000366,APP6459800365,2023-08-28,Hardware Failure,8,100.23
INC000222,AST000372,DEL3052220371,2022-12-27,Performance Issue,4,342.84
INC000223,AST000372,DEL3052220371,2023-03-20,Performance Issue,12,406.44
INC000224,AST000372,DEL3052220371,2023-01-27,Software Issue,15,390.48
INC000225,AST000373,DEL4616750372,2022-11-17,Hardware Failure,14,314.93
INC000226,AST000378,HP4058310377,2020-03-21,Performance Issue,7,212.28
INC000227,AST000381,APP6485320380,2020-08-09,Hardware Failure,15,256.52
INC000228,AST000381,APP6485320380,2020-09-11,Hardware Failure,12,348.06
INC000229,AST000382,LEN9123230381,2024-08-02,Network Issue,13,457.69
INC000230,AST000383,DEL2937570382,2024-04-26,Hardware Failure,14,99.9
INC000231,AST000386,LEN4047040385,2023-03-07,Performance Issue,3,441.12
INC000232,AST000387,DEL2066630386,2021-08-04,Performance Issue,12,85.93
INC000233,AST000387,DEL2066630386,2023-04-28,Software Issue,2,354.23
INC000234,AST000387,DEL2066630386,2022-10-03,Performance Issue,3,259.27
INC000235,AST000389,LEN5012190388,2021-05-27,Performance Issue,14,264.73
INC000236,AST000389,LEN5012190388,2023-03-19,Software Issue,2,226.32
INC000237,AST000391,DEL4276370390,2023-05-22,Software Issue,1,75.65
INC000238,AST000400,MIC3118020399,2023-06-01,Network Issue,5,183.95
INC000239,AST000400,MIC3118020399,2021-12-05,Software Issue,7,196.84
INC000240,AST000400,MIC3118020399,2021-11-30,Hardware Failure,4,282.21
INC000241,AST000408,APP1240850407,2023-05-04,Software Issue,1,304.29
INC000242,AST000410,APP5386510409,2022-02-02,Software Issue,5,90.08
INC000243,AST000410,APP5386510409,2023-10-31,Hardware Failure,1,428.54
INC000244,AST000416,HP6515670415,2024-06-17,Performance Issue,2,59.96
INC000245,AST000419,HP9400140418,2019-11-15,Software Issue,14,329.6
INC000246,AST000419,HP9400140418,2024-10-24,Performance Issue,12,143.07
INC000247,AST000420,MIC1946040419,2021-11-22,Hardware Failure,12,438.94
INC000248,AST000420,MIC1946040419,2020-06-09,Hardware Failure,15,81.32
INC000249,AST000420,MIC1946040419,2023-08-11,Hardware Failure,15,60.29
INC000250,AST000421,APP6501640420,2022-07-28,Software Issue,8,403.2
INC000251,AST000421,APP6501640420,2021-08-01,Software Issue,15,76.78
INC000252,AST000421,APP6501640420,2019-12-06,Network Issue,5,284.79
INC000253,AST000427,APP7610320426,2024-06-15,Network Issue,5,151.33
INC000254,AST000431,HP3734770430,2022-04-08,Network Issue,11,337.31
INC000255,AST000431,HP3734770430,2020-10-05,Software Issue,3,388.81
INC000256,AST000435,LEN5334910434,2020-06-08,Hardware Failure,1,436.15
INC000257,AST000436,MIC8960700435,2024-04-25,Software Issue,8,200.22
INC000258,AST000436,MIC8960700435,2023-10-19,Network Issue,8,342.31
INC000259,AST000439,DEL8933100438,2023-10-05,Performance Issue,1,213.27
INC000260,AST000439,DEL8933100438,2023-05-15,Performance Issue,15,83.89
INC000261,AST000447,LEN6979440446,2018-11-18,Software Issue,8,468.5
INC000262,AST000447,LEN6979440446,2019-12-13,Network Issue,11,429.69
INC000263,AST000447,LEN6979440446,2024-03-23,Performance Issue,7,375.35
INC000264,AST000449,APP9056250448,2020-04-21,Software Issue,9,122.55
INC000265,AST000450,HP3512620449,2021-03-14,Hardware Failure,6,285.4
INC000266,AST000451,MIC8078900450,2024-07-18,Performance Issue,1,275.31
INC000267,AST000451,MIC8078900450,2023-09-24,Hardware Failure,2,457.68
INC000268,AST000452,MIC5443360451,2021-05-25,Software Issue,15,65.25
INC000269,AST000452,MIC5443360451,2021-06-20,Software Issue,15,489.83
INC000270,AST000460,APP6423830459,2024-10-17,Software Issue,4,100.08
INC000271,AST000463,APP9413630462,2022-11-26,Performance Issue,5,279.75
INC000272,AST000463,APP9413630462,2023-02-19,Software Issue,15,372.77
INC000273,AST000463,APP9413630462,2023-03-13,Network Issue,12,328.04
INC000274,AST000466,APP9131660465,2021-12-11,Software Issue,12,105.25
INC000275,AST000466,APP9131660465,2021-08-12,Hardware Failure,10,83.07
INC000276,AST000466,APP9131660465,2023-07-28,Network Issue,12,323.29
INC000277,AST000468,HP2099400467,2020-09-10,Network Issue,9,252.54
INC000278,AST000475,MIC4324200474,2020-11-05,Hardware Failure,10,387.42
INC000279,AST000475,MIC4324200474,2020-02-10,Network Issue,12,188.13
INC000280,AST000486,DEL1280150485,2023-05-09,Performance Issue,8,402.99
INC000281,AST000486,DEL1280150485,2020-02-21,Performance Issue,2,157.15
INC000282,AST000489,DEL3097000488,2023-08-05,Software Issue,6,319.68
INC000283,AST000489,DEL3097000488,2023-07-29,Performance Issue,3,133.18
INC000284,AST000490,DEL6893560489,2022-09-21,Software Issue,2,232.5
INC000285,AST000490,DEL6893560489,2019-11-28,Performance Issue,13,446.75
INC000286,AST000490,DEL6893560489,2022-12-05,Network Issue,15,314.26
INC000287,AST000493,HP3439040492,2019-06-30,Software Issue,2,356.38
INC000288,AST000494,HP2407890493,2024-03-31,Network Issue,13,494.4
INC000289,AST000494,HP2407890493,2023-01-10,Network Issue,15,361.25
INC000290,AST000494,HP2407890493,2020-12-15,Network Issue,8,103.8
INC000291,AST000495,APP6468020494,2024-04-13,Network Issue,2,182.59
INC000292,AST000506,LEN7976400505,2019-05-17,Software Issue,6,445.58
INC000293,AST000506,LEN7976400505,2024-07-04,Hardware Failure,6,248.84
INC000294,AST000506,LEN7976400505,2022-03-03,Performance Issue,11,227.48
INC000295,AST000515,APP6267810514,2022-06-12,Software Issue,3,282.75
INC000296,AST000515,APP6267810514,2022-12-22,Performance Issue,7,177.84
INC000297,AST000515,APP6267810514,2022-09-13,Network Issue,13,325.87
INC000298,AST000517,APP8620570516,2023-01-09,Network Issue,5,51.8
INC000299,AST000518,MIC8297620517,2020-05-09,Software Issue,15,465.68
INC000300,AST000518,MIC8297620517,2020-07-15,Network Issue,7,128.76
INC000301,AST000518,MIC8297620517,2022-05-23,Performance Issue,3,51.33
INC000302,AST000519,HP4728560518,2022-08-08,Hardware Failure,10,70.65
INC000303,AST000519,HP4728560518,2024-05-19,Software Issue,6,448.18
INC000304,AST000519,HP4728560518,2023-08-14,Network Issue,7,212.91
INC000305,AST000520,MIC9135370519,2023-08-08,Network Issue,7,273.74
INC000306,AST000523,MIC1410440522,2024-03-06,Network Issue,4,322.84
INC000307,AST000523,MIC1410440522,2023-04-04,Software Issue,6,267.98
INC000308,AST000524,HP6446750523,2021-10-26,Hardware Failure,3,364.79
INC000309,AST000524,HP6446750523,2020-02-19,Network Issue,4,54.31
INC000310,AST000524,HP6446750523,2024-04-19,Hardware Failure,8,301.91
INC000311,AST000538,HP6768460537,2023-09-11,Performance Issue,6,497.52
INC000312,AST000538,HP6768460537,2023-11-17,Performance Issue,15,142.21
INC000313,AST000538,HP6768460537,2024-07-09,Hardware Failure,1,133.75
INC000314,AST000539,MIC9701450538,2023-12-05,Software Issue,15,65.63
INC000315,AST000539,MIC9701450538,2022-10-17,Hardware Failure,10,433.96
INC000316,AST000542,DEL4680750541,2024-06-02,Software Issue,11,192.06
INC000317,AST000542,DEL4680750541,2024-10-19,Software Issue,10,355.33
INC000318,AST000542,DEL4680750541,2024-07-14,Software Issue,13,208.93
INC000319,AST000548,MIC2394300547,2023-11-29,Network Issue,11,131.07
INC000320,AST000549,HP7411850548,2023-08-09,Network Issue,15,477.67
INC000321,AST000549,HP7411850548,2018-09-11,Hardware Failure,15,399.64
INC000322,AST000555,DEL4704720554,2024-07-09,Performance Issue,9,430.43
INC000323,AST000555,DEL4704720554,2021-12-07,Performance Issue,10,55.35
INC000324,AST000555,DEL4704720554,2019-08-30,Performance Issue,7,419.69
INC000325,AST000556,DEL5494490555,2021-02-24,Network Issue,5,243.88
INC000326,AST000556,DEL5494490555,2020-09-04,Hardware Failure,3,447.62
INC000327,AST000558,APP5444200557,2024-06-11,Network Issue,7,429.36
INC000328,AST000558,APP5444200557,2024-02-02,Performance Issue,1,101.45
INC000329,AST000561,HP2111590560,2020-01-16,Hardware Failure,15,357.22
INC000330,AST000561,HP2111590560,2024-02-01,Performance Issue,5,212.3
INC000331,AST000563,DEL6998530562,2021-10-12,Network Issue,6,125.69
INC000332,AST000563,DEL6998530562,2021-08-07,Performance Issue,1,292.57
INC000333,AST000564,HP6006070563,2024-06-19,Software Issue,7,103.79
INC000334,AST000566,HP1088900565,2021-01-27,Performance Issue,12,222.6
INC000335,AST000573,APP2136110572,2021-10-01,Hardware Failure,1,173.35
INC000336,AST000573,APP2136110572,2019-06-25,Software Issue,9,265.25
INC000337,AST000580,APP6691280579,2023-06-08,Performance Issue,10,365.32
INC000338,AST000580,APP6691280579,2023-08-25,Software Issue,2,281.32
INC000339,AST000581,APP6278120580,2021-11-30,Network Issue,5,431.72
INC000340,AST000581,APP6278120580,2024-04-22,Performance Issue,5,196.49
INC000341,AST000581,APP6278120580,2024-01-01,Hardware Failure,6,228.38
INC000342,AST000582,LEN4928420581,2022-08-19,Hardware Failure,7,395.56
INC000343,AST000582,LEN4928420581,2022-10-04,Hardware Failure,6,441.02
INC000344,AST000582,LEN4928420581,2021-05-12,Software Issue,4,434.29
INC000345,AST000587,MIC1771490586,2022-12-21,Performance Issue,3,120.0
INC000346,AST000587,MIC1771490586,2021-12-06,Software Issue,13,203.45
INC000347,AST000592,DEL2202190591,2018-11-20,Hardware Failure,7,328.01
INC000348,AST000592,DEL2202190591,2023-06-22,Network Issue,7,268.71
INC000349,AST000592,DEL2202190591,2019-01-08,Software Issue,1,499.83
INC000350,AST000593,HP6950340592,2021-11-07,Hardware Failure,13,300.46
INC000351,AST000593,HP6950340592,2021-09-03,Network Issue,9,319.12
INC000352,AST000593,HP6950340592,2024-03-10,Performance Issue,11,242.95
INC000353,AST000595,LEN7198870594,2022-10-27,Hardware Failure,8,383.64
INC000354,AST000595,LEN7198870594,2022-08-31,Performance Issue,11,64.77
INC000355,AST000595,LEN7198870594,2021-03-13,Network Issue,7,95.84
INC000356,AST000598,LEN1786870597,2024-03-18,Performance Issue,3,431.38
INC000357,AST000608,MIC7956340607,2022-07-31,Network Issue,10,429.6
INC000358,AST000608,MIC7956340607,2023-02-23,Performance Issue,13,240.25
INC000359,AST000608,MIC7956340607,2021-03-22,Hardware Failure,11,126.09
INC000360,AST000614,MIC4258300613,2023-09-01,Performance Issue,2,262.25
INC000361,AST000617,MIC1887710616,2020-01-24,Performance Issue,8,157.9
INC000362,AST000617,MIC1887710616,2023-06-16,Software Issue,8,431.41
INC000363,AST000617,MIC1887710616,2020-10-10,Performance Issue,6,139.07
INC000364,AST000619,HP2086390618,2020-05-06,Performance Issue,9,348.69
INC000365,AST000622,APP3903540621,2022-02-07,Software Issue,12,135.82
INC000366,AST000628,MIC6858360627,2022-11-02,Hardware Failure,14,157.1
INC000367,AST000628,MIC6858360627,2024-01-24,Hardware Failure,14,165.16
INC000368,AST000629,APP9612240628,2020-03-09,Performance Issue,13,360.7
INC000369,AST000629,APP9612240628,2021-06-24,Performance Issue,12,354.44
INC000370,AST000629,APP9612240628,2024-01-27,Software Issue,3,275.69
INC000371,AST000632,APP1580450631,2023-04-14,Software Issue,12,216.68
INC000372,AST000632,APP1580450631,2020-02-25,Performance Issue,3,171.46
INC000373,AST000633,APP4855700632,2021-08-20,Network Issue,14,201.6
