CI_ID,Serial_Number,Discovered_User,Discovered_Encryption,Last_Discovery_Date,Discovery_Source
CI277596,LEN9305410096,user9335,Not Encrypted,2024-08-17,JAMF
CI237603,LEN9633330097,user9612,Encrypted,2024-08-30,JAMF
CI343939,DEL2698340098,user9488,,2024-09-06,Intune
CI716170,MIC8556380099,user3526,,2024-08-07,SCCM
CI845816,MIC6064040100,user9938,Encrypted,2024-10-11,JAMF
CI494970,DEL8976150101,user6658,Encrypted,2024-10-11,SCCM
CI694990,APP8561570102,user3616,Encrypted,2024-10-15,JAMF
CI676887,APP8051880103,user9108,,2024-10-20,SCCM
CI338207,DEL6287500104,user5728,,2024-09-15,Intune
CI140714,MIC7317280105,user6990,Encrypted,2024-10-12,SCCM
CI533454,DEL9685240106,user5902,Encrypted,2024-08-16,Intune
CI623946,LEN7874360107,user1436,,2024-10-31,SCCM
CI649173,DEL2587870108,user1310,Encrypted,2024-08-26,SCCM
CI272508,MIC5819920109,user7173,Encrypted,2024-08-02,SCCM
CI250090,LEN3173460110,user5876,,2024-09-11,JAMF
CI375088,APP1828680111,user6430,,2024-10-07,Intune
CI969807,LEN6568370112,user4972,,2024-08-14,Intune
CI199844,DEL8926300113,user8793,,2024-08-19,Intune
CI208870,LEN7797760115,user6417,Encrypted,2024-10-20,SCCM
CI637013,LEN4217090117,user2017,,2024-08-06,Intune
CI303106,DEL9657080118,user8714,,2024-09-08,JAMF
CI381928,MIC9959930119,user9792,Encrypted,2024-09-24,SCCM
CI286983,MIC3668170120,user6049,,2024-10-28,SCCM
CI396068,DEL7772550121,user3218,Not Encrypted,2024-09-03,JAMF
CI596987,APP8062150122,user1372,,2024-10-14,JAMF
CI274386,APP2057970123,user1256,Not Encrypted,2024-10-08,Intune
CI707131,DEL9581360124,user6224,Encrypted,2024-10-16,Intune
CI770163,MIC8301320125,user7244,Encrypted,2024-08-09,Intune
CI464000,HP3673820126,user5174,Not Encrypted,2024-08-16,Intune
CI258504,LEN4179150127,user8854,Encrypted,2024-08-31,JAMF
CI877524,APP4458880129,user7841,,2024-08-31,SCCM
CI460616,MIC2929880130,user3293,,2024-08-29,JAMF
CI640794,DEL1069330131,user8916,Encrypted,2024-10-21,JAMF
CI787772,MIC3012550132,user2578,,2024-09-05,JAMF
CI197409,LEN8964830133,user2320,,2024-08-14,JAMF
CI833871,APP6538150134,user6427,Encrypted,2024-10-09,JAMF
CI718753,MIC1164180135,,,2024-10-30,SCCM
CI865923,LEN6144350137,user1485,Encrypted,2024-10-03,SCCM
CI204858,MIC1959660138,user7383,,2024-08-17,SCCM
CI404043,LEN4060240139,user6315,,2024-08-31,JAMF
CI252938,MIC3639260140,user8933,Encrypted,2024-09-23,SCCM
CI460835,HP7232660141,user6484,,2024-09-25,SCCM
CI165991,HP9561560142,user4971,,2024-08-27,JAMF
CI100434,MIC7641000143,user7703,Encrypted,2024-08-06,Intune
CI596256,APP8357160144,user7853,,2024-09-11,JAMF
CI748327,HP3713060145,user2735,,2024-10-20,SCCM
CI410159,LEN2485570146,user2901,,2024-10-15,SCCM
CI783437,HP9389130147,user6620,Unknown,2024-08-18,SCCM
CI312123,HP5714130148,user1478,Encrypted,2024-08-05,JAMF
CI292863,HP4286280149,user9019,Encrypted,2024-09-10,Intune
CI604657,LEN4914390150,user4908,Encrypted,2024-08-06,JAMF
CI350901,APP2763790152,user5503,,2024-08-03,Intune
CI621928,MIC8878420153,user7965,Encrypted,2024-08-18,JAMF
CI793776,LEN9229740154,user8015,Unknown,2024-10-08,SCCM
CI932857,MIC1621650155,user7462,,2024-08-28,Intune
CI751793,HP5224190156,user2237,Unknown,2024-09-25,SCCM
CI474450,APP9649150157,user9756,,2024-10-10,SCCM
CI203750,LEN9993120158,user8529,,2024-08-08,SCCM
CI213563,APP8612530159,user1848,Encrypted,2024-09-09,SCCM
CI369932,DEL1742680160,user7919,Not Encrypted,2024-10-08,JAMF
CI931855,DEL3234040161,user3688,,2024-09-16,SCCM
CI818210,MIC3598220162,user8035,,2024-09-07,JAMF
CI954608,MIC9218750163,user7418,Encrypted,2024-09-27,JAMF
CI248961,APP2811620164,user7895,Encrypted,2024-08-04,Intune
CI601350,DEL7716520165,user7939,Encrypted,2024-08-29,SCCM
CI389451,LEN8654160166,user2083,Encrypted,2024-08-09,SCCM
CI632512,DEL6484100167,user1185,,2024-08-13,JAMF
CI823971,LEN7580150168,user5308,Encrypted,2024-09-15,JAMF
CI557147,DEL3564300169,,,2024-08-23,SCCM
CI661720,HP1552300170,user7108,Encrypted,2024-10-13,SCCM
CI618819,DEL5402080172,user2703,Not Encrypted,2024-09-10,SCCM
CI569440,LEN2399990173,user2391,Encrypted,2024-10-30,Intune
CI960527,MIC3125590174,user8417,Encrypted,2024-09-10,SCCM
CI165381,HP9665290175,user7967,,2024-10-06,SCCM
CI928899,LEN5240350176,user3848,Encrypted,2024-09-13,Intune
CI901873,DEL1228590177,user5240,Encrypted,2024-09-12,SCCM
CI544509,HP4711360178,user7270,Encrypted,2024-09-06,SCCM
CI563245,LEN1614370180,,,2024-08-25,JAMF
CI572862,LEN2846540181,user7363,Encrypted,2024-08-16,Intune
CI274157,LEN1398070182,user9882,Encrypted,2024-08-03,JAMF
CI124311,HP2548870183,user6301,Encrypted,2024-08-22,SCCM
CI289705,MIC7807140184,user8157,,2024-10-10,JAMF
CI913100,HP3198690186,user9831,Encrypted,2024-10-25,SCCM
CI297223,LEN9270430187,user9946,Encrypted,2024-09-20,JAMF
CI105025,DEL4543660188,user9962,Encrypted,2024-09-20,SCCM
CI260675,APP3490870189,user5346,Encrypted,2024-08-05,SCCM
CI210166,APP1859160190,,Encrypted,2024-08-25,JAMF
CI183810,APP5611010191,user8303,,2024-09-01,JAMF
CI672990,LEN3385640192,user7782,Encrypted,2024-08-22,JAMF
CI775647,MIC9393330193,,,2024-08-05,JAMF
CI985210,APP4352810194,user3422,Encrypted,2024-10-23,SCCM
CI999856,MIC8952160195,user3428,,2024-08-30,JAMF
CI233425,MIC7482760196,user3222,Encrypted,2024-10-19,JAMF
CI793618,LEN2409130197,user2609,Encrypted,2024-08-16,JAMF
CI184649,LEN8440370198,user7974,,2024-10-30,JAMF
CI143085,MIC6296630199,user5488,Encrypted,2024-08-03,SCCM
CI823296,DEL1947820200,user4021,Encrypted,2024-08-31,Intune
CI938188,MIC7788180201,user1145,Encrypted,2024-10-24,JAMF
CI190884,MIC6363610202,user7506,,2024-08-02,JAMF
CI301456,MIC4133050203,user5278,Encrypted,2024-10-24,SCCM
CI228096,HP7862240205,user3999,Encrypted,2024-10-13,JAMF
CI290321,LEN6247880206,user2166,,2024-09-17,Intune
CI304700,LEN4487870207,user3954,,2024-09-07,SCCM
CI605314,DEL5498650208,user8105,Encrypted,2024-10-22,SCCM
CI866155,MIC4272520209,user5076,Not Encrypted,2024-09-03,Intune
CI167591,DEL9087130211,,Encrypted,2024-09-27,SCCM
CI560147,DEL2058850212,user1152,Encrypted,2024-08-26,Intune
CI541099,HP8376060213,user9571,,2024-10-13,Intune
CI215236,MIC8587110214,user2475,,2024-10-24,JAMF
CI204449,HP9925960215,user7979,,2024-08-23,Intune
CI276179,HP3850370216,user2865,Encrypted,2024-10-14,SCCM
CI208018,HP9170120217,user8178,Encrypted,2024-10-21,Intune
CI464893,HP8589310218,user9598,,2024-09-11,SCCM
CI908564,MIC2645500219,user1894,Unknown,2024-09-04,SCCM
CI599149,APP5657650220,user4850,Encrypted,2024-09-29,Intune
CI443880,APP3168990221,user5990,,2024-10-14,JAMF
CI689776,LEN9387690222,user6592,Unknown,2024-10-16,JAMF
CI142452,DEL3260610223,user9733,Unknown,2024-08-30,SCCM
CI755971,HP4084630225,user5482,Encrypted,2024-09-24,Intune
CI221264,APP8449040226,user6657,Encrypted,2024-09-07,SCCM
CI322016,MIC4993710227,user1209,Unknown,2024-08-29,JAMF
CI661253,LEN5077770228,user4675,Not Encrypted,2024-10-07,JAMF
CI906009,DEL8388570229,user9684,,2024-09-05,SCCM
CI520097,LEN8420570231,user1572,,2024-10-25,Intune
CI754209,LEN1259050233,user5203,,2024-08-26,Intune
CI688718,MIC1686520234,user5012,,2024-10-04,Intune
CI893124,APP1768060235,user6434,Encrypted,2024-10-26,Intune
CI262308,MIC1477270236,user2036,Encrypted,2024-10-01,JAMF
CI204219,LEN9928190238,user6633,Encrypted,2024-10-20,SCCM
CI682673,MIC2029720239,user9884,,2024-08-10,SCCM
CI814956,LEN9469340240,user3496,Encrypted,2024-09-02,Intune
CI934633,LEN2843080241,user6004,Encrypted,2024-08-12,SCCM
CI534156,HP1384360242,user7637,Unknown,2024-08-07,JAMF
CI211954,HP6265600243,user9362,,2024-10-25,SCCM
CI312880,MIC1448870244,user2864,Encrypted,2024-08-07,JAMF
CI805835,APP6417600245,user6985,Encrypted,2024-09-07,JAMF
CI377218,LEN2650010246,user5600,,2024-10-07,Intune
CI796272,HP2412680247,user3095,,2024-09-20,JAMF
CI762519,HP7938890248,user1305,Encrypted,2024-09-04,Intune
CI647001,MIC4593160249,user5333,,2024-10-01,JAMF
CI794757,APP1977160250,user9706,,2024-09-03,JAMF
CI856509,MIC8985310251,user6742,Encrypted,2024-10-20,JAMF
CI830006,LEN8211750252,user1117,,2024-08-16,JAMF
CI998690,DEL6818660253,user8904,Encrypted,2024-10-14,SCCM
CI883347,APP1055470254,user1852,Encrypted,2024-10-02,JAMF
CI163282,APP1602540255,user8222,Encrypted,2024-08-17,SCCM
CI922243,APP2650920256,user6893,Encrypted,2024-08-12,SCCM
CI293966,LEN3372880257,user6703,,2024-10-27,SCCM
CI991604,APP3622920258,user9813,Unknown,2024-09-15,JAMF
CI765393,APP4702480259,user4767,Encrypted,2024-08-22,SCCM
CI691402,HP8162890260,user5408,,2024-08-15,SCCM
CI396233,LEN2344750262,user5591,Encrypted,2024-09-20,SCCM
CI608687,HP9906490265,,Encrypted,2024-09-12,JAMF
CI871587,LEN6875690266,user6483,,2024-08-26,Intune
CI917979,DEL6352390267,user5663,,2024-10-15,Intune
CI917824,APP1829540268,user7631,Encrypted,2024-09-20,SCCM
CI331457,LEN9957060269,user8377,Not Encrypted,2024-09-27,SCCM
CI382517,LEN2628160270,user2363,Not Encrypted,2024-10-31,SCCM
CI364954,HP5664530271,user9856,,2024-10-10,SCCM
CI986016,MIC1000960272,user5256,,2024-09-06,JAMF
CI376707,LEN6877830273,user7634,,2024-09-13,JAMF
CI545851,APP2971320274,user9715,,2024-08-02,JAMF
CI994044,LEN8499370275,user4343,Encrypted,2024-10-07,JAMF
CI574531,HP1587600276,,Encrypted,2024-09-02,JAMF
CI314609,APP9084470277,user1549,Encrypted,2024-10-17,Intune
CI259749,LEN3283670278,user9008,,2024-09-19,Intune
CI327852,APP3608040279,user3539,,2024-08-09,Intune
CI231064,MIC8688040280,user6690,,2024-09-09,Intune
CI159831,LEN6651360282,user6254,,2024-09-25,JAMF
CI440136,APP3009240283,user1512,Unknown,2024-10-08,JAMF
CI894496,APP1636480284,user9384,Encrypted,2024-10-22,JAMF
CI808372,LEN3025000285,user4784,Encrypted,2024-08-31,SCCM
CI552969,HP6766800286,user2705,Encrypted,2024-10-03,SCCM
CI322140,HP6721300287,user6299,Encrypted,2024-09-16,JAMF
CI443417,APP3326650288,user5945,,2024-08-14,SCCM
CI553987,LEN6967070289,user1428,Encrypted,2024-08-20,SCCM
CI354963,APP6115590292,user3209,Encrypted,2024-09-10,SCCM
CI749628,MIC7227250293,user6706,Encrypted,2024-09-17,SCCM
CI195764,MIC2548500294,user1893,,2024-10-25,SCCM
CI726195,LEN8288340295,user8913,Encrypted,2024-08-04,JAMF
CI731678,MIC7951860296,,Encrypted,2024-10-16,SCCM
CI747743,DEL6249700297,user9709,,2024-08-21,SCCM
CI584065,HP7561900298,user9212,Encrypted,2024-09-24,SCCM
CI197997,DEL2601690299,user4726,Encrypted,2024-09-21,JAMF
CI397852,LEN9074550300,user9582,,2024-09-15,Intune
CI861881,DEL8742050301,user8258,Encrypted,2024-09-05,SCCM
CI948639,APP2856790303,user4323,,2024-08-15,SCCM
CI765061,DEL1516900305,user7347,,2024-10-23,Intune
CI421058,LEN1956200307,user3686,,2024-08-20,Intune
CI808997,LEN2875550308,user3459,Encrypted,2024-08-30,SCCM
CI117682,APP4659730310,user4028,Encrypted,2024-09-25,Intune
CI654690,MIC8338420311,user5659,Encrypted,2024-08-14,SCCM
CI596757,MIC4070570312,user8001,,2024-08-11,SCCM
CI867435,DEL3226520315,user6468,Encrypted,2024-10-21,SCCM
CI509500,LEN4465690316,user1477,Not Encrypted,2024-10-25,SCCM
CI312435,HP6923850317,user1917,,2024-08-29,SCCM
CI746780,LEN1971020319,user7131,Encrypted,2024-10-22,Intune
CI644465,MIC8095890320,user6825,Encrypted,2024-10-27,Intune
CI355086,APP8817700321,user2689,,2024-09-11,SCCM
CI957339,HP4673350322,user9422,,2024-10-12,Intune
CI737119,LEN5471810323,user7284,Encrypted,2024-10-18,SCCM
CI381726,LEN5910220324,user2522,,2024-09-19,SCCM
CI556621,APP1685400325,user6320,,2024-10-15,SCCM
CI601637,APP7192210326,user5949,Unknown,2024-10-02,Intune
CI442624,APP7020800327,user2276,,2024-09-27,Intune
CI488537,MIC7922320328,user7208,,2024-10-05,Intune
CI836944,HP4142950329,user4205,Encrypted,2024-10-15,Intune
CI139187,LEN2150270330,,Encrypted,2024-08-25,JAMF
CI906674,MIC4024830331,user6902,,2024-10-26,Intune
CI844334,DEL5781800332,user3248,Encrypted,2024-09-16,Intune
CI433744,APP5307940333,user4878,Encrypted,2024-08-12,JAMF
CI551970,DEL6487790334,user5578,Encrypted,2024-09-04,JAMF
CI603659,APP4032570335,user6431,Encrypted,2024-10-08,SCCM
CI539557,LEN9218340336,user9283,Not Encrypted,2024-09-01,SCCM
CI596609,APP5005600339,,,2024-10-13,SCCM
CI784560,MIC9079240340,user4961,Unknown,2024-09-03,SCCM
CI461853,HP3641320341,user8561,,2024-08-27,Intune
CI266191,DEL2932130342,user4027,Encrypted,2024-08-26,SCCM
CI505850,APP6156070343,user5336,,2024-09-24,SCCM
CI813438,APP8628860344,user2194,Encrypted,2024-08-26,Intune
CI139659,HP9188710345,user8144,Encrypted,2024-09-09,Intune
CI325642,HP1374320347,user8175,Encrypted,2024-08-13,Intune
CI784201,DEL7997310348,user7643,Encrypted,2024-10-21,Intune
CI412390,MIC2368780349,user1750,Encrypted,2024-10-31,JAMF
CI153771,APP7039450350,user7586,Encrypted,2024-08-02,JAMF
CI637334,HP7421910351,user1666,Encrypted,2024-08-08,SCCM
CI581652,DEL2500380352,user8798,Encrypted,2024-08-03,Intune
CI901609,HP2003310353,user4860,Encrypted,2024-08-14,Intune
CI448670,HP4818840354,user1706,,2024-08-19,SCCM
CI754381,LEN7079240355,user4855,Encrypted,2024-09-12,SCCM
CI138610,LEN5808540357,user3236,Encrypted,2024-10-22,Intune
CI997028,MIC3927310358,user4546,Encrypted,2024-08-22,JAMF
CI493205,HP6569210359,user9261,,2024-10-24,JAMF
CI467090,DEL7796580362,user1669,Not Encrypted,2024-08-05,JAMF
CI963771,LEN9480830364,user7031,,2024-08-19,JAMF
CI206472,APP6459800365,user3424,Encrypted,2024-08-15,Intune
CI324465,MIC2555440367,user5720,Encrypted,2024-08-08,JAMF
CI261924,MIC7024330368,user4897,Encrypted,2024-09-16,Intune
CI742750,HP5242140369,user5940,Encrypted,2024-09-20,JAMF
CI885521,LEN5635810370,user3409,Encrypted,2024-09-04,JAMF
CI211855,DEL3052220371,user4639,Unknown,2024-08-22,SCCM
CI109757,MIC7269810373,user7786,Encrypted,2024-10-29,SCCM
CI180677,LEN4016630375,user8742,Encrypted,2024-10-12,Intune
CI225738,HP4913300376,user8799,Encrypted,2024-08-24,JAMF
CI322486,HP4058310377,user6832,Encrypted,2024-09-29,SCCM
CI749882,HP4687100378,user6939,Encrypted,2024-08-11,SCCM
CI407266,LEN6778830379,user9612,,2024-09-07,JAMF
CI413352,APP6485320380,user8240,Encrypted,2024-10-11,JAMF
CI897189,LEN9123230381,user2830,Encrypted,2024-08-11,JAMF
CI670057,LEN8906450383,user4138,Encrypted,2024-08-24,SCCM
CI311929,MIC2296200384,user2848,,2024-10-14,SCCM
CI445668,LEN4047040385,user8273,,2024-08-04,JAMF
CI667735,DEL2066630386,user7468,,2024-09-05,Intune
CI611686,LEN5196770387,user8285,Encrypted,2024-09-12,JAMF
CI326972,MIC6687870389,user9157,Encrypted,2024-09-27,JAMF
CI126207,DEL4276370390,user3689,,2024-10-23,Intune
CI227614,DEL9037020391,user7189,Encrypted,2024-10-17,JAMF
CI813801,DEL4419580393,user3781,Encrypted,2024-09-24,Intune
CI182252,APP9508740394,user4373,Encrypted,2024-09-23,JAMF
CI607702,MIC8525700395,user4700,,2024-09-17,Intune
CI400257,LEN4285740396,user5913,,2024-09-03,JAMF
CI775833,MIC6585960397,user8656,Encrypted,2024-08-25,Intune
CI950216,DEL3799010398,user2055,Encrypted,2024-09-12,SCCM
CI680635,MIC3118020399,user7914,Encrypted,2024-08-20,JAMF
CI570391,LEN4810880400,user2353,Encrypted,2024-09-17,JAMF
CI309839,HP9107490401,user2478,Encrypted,2024-09-20,JAMF
CI621696,APP4318630402,user9740,Encrypted,2024-08-07,SCCM
CI706741,LEN3513180403,user1895,Encrypted,2024-10-04,JAMF
CI651930,LEN5601630404,user5872,Unknown,2024-10-15,SCCM
CI877022,LEN5413140405,user9295,Encrypted,2024-08-15,SCCM
CI918679,APP1240850407,user8230,,2024-10-24,Intune
CI375450,APP9109260408,user1231,Encrypted,2024-10-16,SCCM
CI792530,APP5386510409,user5636,Unknown,2024-08-10,Intune
CI897645,LEN5438520410,user4476,Encrypted,2024-09-16,Intune
CI176481,MIC6290500411,user7087,Encrypted,2024-08-04,Intune
CI927535,LEN4284860412,user8093,Not Encrypted,2024-09-29,JAMF
CI862668,LEN6826670413,user9049,,2024-09-23,JAMF
CI264021,HP6880980414,user1668,Encrypted,2024-09-13,SCCM
CI925271,HP6515670415,user4479,Unknown,2024-08-03,Intune
CI872375,HP7915770416,user2328,,2024-09-16,Intune
CI867488,DEL4999170417,user2158,Unknown,2024-09-23,Intune
CI834671,HP9400140418,user3525,,2024-08-19,Intune
CI394905,MIC1946040419,user5398,Encrypted,2024-10-30,JAMF
CI104610,APP6501640420,user9115,,2024-10-02,Intune
CI287783,DEL1802500421,user5841,,2024-09-13,SCCM
CI353024,APP1474570422,user3941,Not Encrypted,2024-10-20,JAMF
CI584604,MIC5141180423,user5491,,2024-08-06,SCCM
CI436538,APP2311650424,user7471,,2024-10-15,Intune
CI223887,DEL5970130425,user5930,Encrypted,2024-09-27,Intune
CI812593,APP7610320426,user1834,,2024-10-17,Intune
CI311595,APP1199430427,user4799,Encrypted,2024-09-01,Intune
CI572401,DEL7162040428,user8178,,2024-10-18,Intune
CI245713,APP8242480429,user3654,Encrypted,2024-08-03,JAMF
CI897259,DEL3804840431,user1764,Encrypted,2024-09-26,JAMF
CI562553,APP7605250432,user8491,,2024-08-11,JAMF
CI897901,HP3572320433,user7811,,2024-09-03,Intune
CI510049,LEN5334910434,user4738,Encrypted,2024-10-31,SCCM
CI918199,MIC8960700435,user3692,,2024-08-21,SCCM
CI542538,DEL7751560436,user4106,Encrypted,2024-08-18,SCCM
CI278936,LEN4274200437,user4501,,2024-10-02,JAMF
CI115582,DEL8933100438,user9314,Not Encrypted,2024-08-29,Intune
CI989655,HP6133210441,user7937,,2024-09-09,JAMF
CI794243,DEL5422440443,user7231,Encrypted,2024-08-09,JAMF
CI599800,HP5983120444,user8411,,2024-10-28,JAMF
CI470962,LEN6979440446,user9877,Unknown,2024-08-05,JAMF
CI594472,DEL6153460447,user6249,Encrypted,2024-08-18,JAMF
CI720495,APP9056250448,user5675,Encrypted,2024-10-12,JAMF
CI743422,MIC8078900450,user1305,,2024-10-01,JAMF
CI556148,DEL3949760452,user4485,,2024-10-23,JAMF
CI850497,DEL7660230453,user6215,,2024-10-15,JAMF
CI632533,APP9676610455,user6783,Encrypted,2024-10-06,Intune
CI108608,DEL7556080456,user4137,Not Encrypted,2024-10-23,JAMF
CI294812,LEN2787580457,user5544,Encrypted,2024-09-08,JAMF
CI329849,HP8106560458,user1378,Encrypted,2024-08-21,Intune
CI493287,APP6423830459,user6015,Encrypted,2024-08-31,JAMF
CI703591,APP3064400460,user7943,Encrypted,2024-09-05,Intune
CI627881,DEL1764520461,user6465,Encrypted,2024-08-07,JAMF
CI491459,APP9413630462,user2065,Encrypted,2024-08-21,SCCM
CI207991,APP9257270463,user7735,Encrypted,2024-08-22,SCCM
CI478723,APP7010560464,user2106,Not Encrypted,2024-08-20,JAMF
CI296663,APP9131660465,user6098,,2024-10-28,SCCM
CI982408,MIC1572590466,user9308,,2024-10-03,Intune
CI721405,HP2099400467,user5909,Encrypted,2024-08-28,JAMF
CI920901,DEL4804410468,user7558,Encrypted,2024-08-26,SCCM
CI539087,DEL3579120469,user5712,Encrypted,2024-09-09,JAMF
CI639087,HP9279420471,user4098,Encrypted,2024-09-30,SCCM
CI662428,LEN5868190472,user9342,Encrypted,2024-09-08,SCCM
CI266309,APP2648450473,user7963,,2024-09-16,Intune
CI402042,MIC4324200474,user8086,Encrypted,2024-09-03,JAMF
CI301457,HP1401400475,user2612,,2024-10-27,JAMF
CI501244,LEN9211690476,,,2024-09-27,Intune
CI152441,MIC7155170477,user4438,Encrypted,2024-10-25,JAMF
CI528583,LEN1101510478,user3102,Encrypted,2024-10-12,SCCM
CI526717,APP5096110479,user7404,,2024-08-30,SCCM
CI688058,APP3086650480,user9005,Unknown,2024-09-10,Intune
CI691786,HP1721030481,user9789,,2024-10-22,SCCM
CI763131,HP9646370482,user8366,,2024-08-30,JAMF
CI514949,LEN5352140483,user5873,Encrypted,2024-09-17,JAMF
CI339364,APP3278080484,user2093,Encrypted,2024-09-07,JAMF
CI790883,DEL1280150485,user5490,,2024-10-21,SCCM
CI962549,LEN3540630486,user9070,,2024-10-08,JAMF
CI389281,DEL3097000488,user5091,Not Encrypted,2024-08-21,SCCM
CI604895,DEL6893560489,user2764,,2024-08-24,SCCM
CI685092,HP8301390491,user2552,,2024-09-15,SCCM
CI444805,HP3439040492,user9248,,2024-09-01,JAMF
CI515418,HP2407890493,user8270,,2024-09-06,JAMF
