Asset_ID,Serial_Number,Manufacturer,Model,Asset_Type,Purchase_Date,Purchase_Cost,Warranty_End_Date,Region,Department,Assigned_User,Status,OS_Version,Encryption_Status,Last_Login_Days_Ago,Avg_CPU_Usage_Percent,Disk_Usage_Percent,Has_Failed,Age_Years
AST000024,MIC7965030023,Microsoft,Surface Laptop 4,Tablet,2022-04-27,1477.6,2023-04-27,Asia Pacific,Operations,user4228,In Storage,,Unknown,127,0.0,46.56,No,2.51
AST000025,DEL5258000024,Dell,OptiPlex 7090,Monitor,2022-07-31,528.76,2025-07-30,North America,HR,user3851,Active,,,4,56.04,42.47,No,2.25
AST000026,LEN6404900025,Lenovo,ThinkSystem SR650,Desktop,2024-07-03,1197.47,2027-07-03,Asia Pacific,IT,user3780,Active,Windows 11,Encrypted,5,50.22,58.74,No,0.33
AST000027,LEN6183920026,Lenovo,ThinkPad T14,Desktop,2019-08-27,959.69,2022-08-26,Europe,Operations,user4185,Active,Ubuntu 22.04,Encrypted,3,83.96,69.73,No,5.18
AST000028,DEL4327110027,Dell,PowerEdge R740,Laptop,2020-06-15,2415.07,2025-06-14,Latin America,Marketing,user9702,Active,Ubuntu 22.04,Encrypted,7,23.26,46.2,No,4.38
AST000029,MIC6081360028,Microsoft,Surface Go 3,Server,2019-10-14,14647.73,2024-10-12,Asia Pacific,Sales,user5543,Retired,,,1152,0.0,0.0,Yes,5.05
AST000030,DEL5359700029,Dell,Latitude 7420,Monitor,2021-01-17,237.36,2024-01-17,Latin America,Sales,user7678,Active,,,1,28.99,45.03,No,3.79
AST000031,MIC6119450030,Microsoft,Surface Go 3,Laptop,2023-05-08,1524.92,2024-05-07,Latin America,Sales,user9947,Active,Windows 10,Encrypted,5,39.41,55.35,No,1.48
AST000032,APP5841250031,Apple,Mac Mini M1,Monitor,2019-11-08,401.75,2020-11-07,Asia Pacific,Sales,user2375,In Repair,,,11,29.42,64.72,No,4.98
AST000033,LEN4669600032,Lenovo,ThinkSystem SR650,Desktop,2021-08-31,801.8,,North America,Engineering,user9837,Active,Ubuntu 22.04,Encrypted,6,38.09,91.83,No,3.17
AST000034,DEL7353240033,Dell,Latitude 7420,Laptop,2020-03-27,1832.32,2021-03-27,North America,Engineering,user5198,In Repair,Windows 11,Encrypted,26,4.57,38.2,No,4.6
AST000035,LEN9915970034,Lenovo,ThinkPad X1 Carbon,Laptop,2021-07-01,1963.24,2024-06-30,North America,Engineering,user2669,Active,Ubuntu 20.04,Encrypted,6,45.78,76.48,Yes,3.33
AST000036,DEL2846920035,Dell,PowerEdge R740,Monitor,2022-02-26,640.28,2025-02-25,Asia Pacific,Marketing,user8532,Active,,,5,20.82,57.3,No,2.68
AST000037,MIC4973990036,Microsoft,Surface Go 3,Server,2022-11-20,10873.16,2027-11-19,Latin America,Engineering,user8613,Active,,,4,40.95,45.96,No,1.95
AST000038,LEN3530800037,Lenovo,ThinkSystem SR650,Desktop,2020-05-18,1248.07,2021-05-18,Latin America,Marketing,,Active,Windows 11,Encrypted,4,42.12,87.22,No,4.45
AST000039,APP6771240038,Apple,Mac Mini M1,Server,2018-03-12,10800.29,2023-03-11,Latin America,HR,user6632,Active,,,3,46.29,45.81,Yes,6.64
AST000040,LEN6077190039,Lenovo,ThinkPad T14,Monitor,2019-05-10,365.9,2024-05-08,Asia Pacific,IT,user4033,Retired,,,826,0.0,0.0,Yes,5.48
AST000041,HP2075700040,HP,ProBook 450,Monitor,2022-01-18,723.63,2025-01-17,Asia Pacific,Sales,user3068,Active,,,0,66.02,38.23,Yes,2.78
AST000042,APP7600210041,Apple,"MacBook Pro 16""",Server,2020-01-26,15423.86,2025-01-24,Europe,Finance,user7565,Disposed,,,697,0.0,0.0,No,4.76
AST000043,MIC5496600042,Microsoft,Surface Laptop 4,Monitor,2020-10-13,498.2,2025-10-12,North America,Marketing,user8253,Active,,,6,59.41,81.4,Yes,4.05
AST000044,DEL4020990043,Dell,Latitude 7420,Desktop,2020-12-19,1236.26,2021-12-19,Latin America,IT,user8699,In Storage,Ubuntu 22.04,Encrypted,110,0.0,45.59,No,3.87
AST000045,HP8221310044,HP,ProBook 450,Monitor,2022-10-08,382.45,2025-10-07,Latin America,HR,user5728,Active,,,3,62.1,89.05,No,2.06
AST000046,MIC9613220045,Microsoft,Surface Go 3,Tablet,2022-11-29,800.29,2027-11-28,North America,Engineering,user1339,Active,,Encrypted,0,77.81,77.74,No,1.92
AST000047,HP5316410046,HP,ProLiant DL380,Server,2021-02-13,11936.74,2024-02-13,Asia Pacific,Operations,user2713,Active,,,6,61.26,61.96,Yes,3.71
AST000048,APP2966940047,Apple,"MacBook Pro 14""",Tablet,2023-02-06,1059.18,2024-02-06,Latin America,Operations,user9889,Active,,Encrypted,4,41.01,93.06,No,1.73
AST000049,APP6775960048,Apple,MacBook Air M1,Laptop,2020-12-29,1070.22,2023-12-29,Latin America,IT,user4920,Active,Windows 11,Encrypted,4,48.48,75.39,Yes,3.84
AST000050,DEL2998690049,Dell,Latitude 5420,Server,2019-09-23,14218.68,2022-09-22,Europe,Engineering,user8483,In Repair,,,29,8.76,75.85,Yes,5.11
AST000051,DEL6647420050,Dell,PowerEdge R740,Monitor,2021-10-24,490.6,2024-10-23,Asia Pacific,Marketing,user9022,Retired,,,699,0.0,0.0,No,3.02
AST000052,MIC8808790051,Microsoft,Surface Go 3,Server,2021-08-11,12648.69,,Latin America,Sales,user7730,Retired,,,894,0.0,0.0,Yes,3.22
AST000053,HP2511570052,HP,EliteBook 840,Server,2019-06-02,9099.79,,Europe,IT,user8486,Retired,,,1388,0.0,0.0,Yes,5.42
AST000054,APP7474530053,Apple,"MacBook Pro 16""",Monitor,2022-06-17,313.37,2023-06-17,Asia Pacific,Finance,user8994,Active,,,5,75.4,85.86,No,2.37
AST000055,DEL6934180054,Dell,Latitude 5420,Server,2019-02-16,11818.0,2022-02-15,Europe,Finance,user3385,In Repair,,,29,8.98,31.88,Yes,5.71
AST000056,HP6731490055,HP,ProLiant DL380,Laptop,2020-09-13,1068.56,2025-09-12,Latin America,HR,user8622,Active,Ubuntu 20.04,Encrypted,2,35.09,71.46,No,4.13
AST000057,LEN1230050056,Lenovo,ThinkCentre M90,Server,2023-02-15,14779.44,2026-02-14,Latin America,HR,user5847,Active,,,3,84.96,85.47,Yes,1.71
AST000058,DEL9047510057,Dell,Latitude 5420,Tablet,2024-10-19,927.35,2029-10-18,Europe,Operations,user5106,Active,,Encrypted,4,70.42,44.96,No,0.03
AST000059,DEL6566390058,Dell,OptiPlex 7090,Laptop,2022-12-11,1653.05,2025-12-10,Asia Pacific,Engineering,user3165,Active,Windows 11,Encrypted,5,67.6,35.86,No,1.89
AST000060,LEN4835420059,Lenovo,ThinkCentre M90,Server,2021-10-19,5903.03,2026-10-18,Latin America,IT,user7511,In Repair,,,21,28.89,39.15,No,3.03
AST000061,LEN7791120060,Lenovo,ThinkPad X1 Carbon,Tablet,2023-02-06,450.57,2024-02-06,Latin America,Operations,user6374,Active,,Encrypted,4,58.0,83.46,No,1.73
AST000062,LEN8303160061,Lenovo,ThinkPad X1 Carbon,Server,2019-07-27,14459.74,2024-07-25,Latin America,Marketing,user8432,Active,,,0,39.78,62.02,Yes,5.26
AST000063,HP6709130062,HP,EliteBook 840,Server,2023-06-28,14016.96,2026-06-27,Asia Pacific,IT,user2627,Active,,,4,22.13,54.08,No,1.34
AST000064,APP4497090063,Apple,MacBook Air M1,Monitor,2019-05-16,449.98,,Europe,Engineering,user1349,Disposed,,,1867,0.0,0.0,No,5.46
AST000065,MIC2363060064,Microsoft,Surface Laptop 4,Desktop,2024-03-20,1412.05,2025-03-20,Europe,IT,user5542,Active,Ubuntu 22.04,Encrypted,3,72.85,45.14,No,0.62
AST000066,DEL6381690065,Dell,Latitude 5420,Desktop,2022-01-07,1134.3,2025-01-06,Latin America,Marketing,user2041,Active,Windows 11,Not Encrypted,3,58.28,31.03,No,2.81
AST000067,MIC1847140066,Microsoft,Surface Book 3,Laptop,2023-02-20,1751.87,,Europe,IT,user8267,Active,Windows 11,Encrypted,0,23.95,61.13,No,1.69
AST000068,LEN9063150067,Lenovo,ThinkCentre M90,Tablet,2022-04-10,841.07,2027-04-09,Europe,Sales,user2874,Disposed,,Encrypted,723,0.0,0.0,No,2.56
AST000069,APP1703940068,Apple,Mac Mini M1,Desktop,2021-10-20,886.73,2024-10-19,North America,IT,user3500,In Repair,macOS Sonoma,Encrypted,19,12.48,36.18,No,3.03
AST000070,DEL4276260069,Dell,Latitude 7420,Monitor,2024-03-28,410.99,2029-03-27,Europe,Finance,user1842,Active,,,5,63.55,56.7,No,0.59
AST000071,APP9697520070,Apple,"MacBook Pro 14""",Desktop,2021-12-05,1591.36,2026-12-04,North America,Finance,user1430,Active,macOS Ventura,Encrypted,5,27.47,48.11,Yes,2.9
AST000072,LEN4944680071,Lenovo,ThinkCentre M90,Monitor,2018-01-26,451.9,2019-01-26,Asia Pacific,Finance,,Active,,,2,56.81,56.05,Yes,6.76
AST000073,LEN3864360072,Lenovo,ThinkCentre M90,Monitor,2024-05-13,329.34,2027-05-13,North America,HR,user8957,Active,,,0,30.11,79.04,No,0.47
AST000074,APP4440610073,Apple,"MacBook Pro 16""",Laptop,2024-08-26,1305.17,2027-08-26,Latin America,Operations,user3248,Active,macOS Sonoma,Not Encrypted,4,22.95,55.69,No,0.18
AST000075,HP7712370074,HP,ProLiant DL380,Desktop,2023-12-22,975.92,2028-12-20,North America,Sales,user8033,Active,Windows 10,Encrypted,5,24.68,86.01,Yes,0.86
AST000076,LEN1800890075,Lenovo,ThinkSystem SR650,Desktop,2022-01-22,1059.43,2023-01-22,North America,Marketing,user6562,Active,Ubuntu 20.04,Encrypted,1,35.82,68.28,No,2.77
AST000077,HP8967880076,HP,EliteDesk 800,Monitor,2019-08-28,547.68,2024-08-26,Asia Pacific,Engineering,user9095,Active,,,2,36.64,41.28,Yes,5.18
AST000078,LEN4866490077,Lenovo,ThinkSystem SR650,Desktop,2018-10-07,1348.53,,North America,Operations,user8404,In Repair,Windows 10,Encrypted,27,9.08,47.85,Yes,6.07
AST000079,MIC2085290078,Microsoft,Surface Go 3,Tablet,2023-03-11,1363.41,2026-03-10,Asia Pacific,Operations,user3471,Active,,Encrypted,0,49.23,82.64,No,1.64
AST000080,DEL8118750079,Dell,Latitude 7420,Tablet,2018-06-10,878.31,2021-06-09,Asia Pacific,IT,user7347,Active,,Encrypted,7,84.41,64.06,Yes,6.39
AST000081,LEN1888340080,Lenovo,ThinkSystem SR650,Laptop,2021-03-09,1326.29,2026-03-08,Latin America,Operations,user7421,Active,macOS Ventura,Encrypted,2,41.67,67.88,Yes,3.65
AST000082,HP1809130081,HP,EliteBook 840,Tablet,2022-10-01,636.63,2023-10-01,North America,Marketing,user4711,Active,,Encrypted,0,43.57,41.72,No,2.08
AST000083,MIC5308160082,Microsoft,Surface Laptop 4,Tablet,2021-10-11,898.87,2022-10-11,Europe,Sales,user3712,Retired,,Encrypted,812,0.0,0.0,Yes,3.06
AST000084,MIC9159220083,Microsoft,Surface Go 3,Monitor,2020-08-16,557.86,2023-08-16,Latin America,Finance,user8218,Active,,,4,82.76,80.98,No,4.21
AST000085,HP3860420084,HP,ProBook 450,Tablet,2020-10-21,759.46,2021-10-21,Europe,Engineering,user5670,Active,,Encrypted,7,76.82,66.05,Yes,4.03
AST000086,APP4341650085,Apple,MacBook Air M1,Laptop,2023-01-22,3097.13,2024-01-22,Asia Pacific,Engineering,user2337,In Storage,Windows 11,Encrypted,43,0.0,56.97,No,1.77
AST000087,HP6754620086,HP,EliteDesk 800,Laptop,2023-04-20,2398.38,2024-04-19,Latin America,IT,,Active,macOS Ventura,Encrypted,2,69.32,60.49,No,1.53
AST000088,HP5500890087,HP,EliteBook 840,Monitor,2018-07-15,200.94,2021-07-14,Asia Pacific,Finance,user4963,Active,,,7,24.08,84.38,Yes,6.3
AST000089,MIC5929720088,Microsoft,Surface Pro 8,Server,2018-12-17,7065.95,2021-12-16,Latin America,HR,user9316,Retired,,,918,0.0,0.0,Yes,5.87
AST000090,LEN2835940089,Lenovo,ThinkCentre M90,Laptop,2018-10-04,2211.65,2023-10-03,Latin America,Operations,user6772,In Storage,macOS Sonoma,Encrypted,351,0.0,36.74,No,6.08
AST000091,HP8898820090,HP,EliteBook 840,Desktop,2023-02-18,1182.21,2024-02-18,Asia Pacific,HR,user9897,Active,Windows 10,Encrypted,3,22.85,42.97,Yes,1.7
AST000092,LEN3796760091,Lenovo,ThinkPad X1 Carbon,Monitor,2022-02-16,680.69,2027-02-15,Latin America,IT,user9151,Active,,,6,68.32,88.15,No,2.7
AST000093,APP8621200092,Apple,MacBook Air M1,Tablet,2024-02-13,1424.84,2025-02-12,Asia Pacific,Marketing,user8272,Active,,Encrypted,1,25.2,72.96,No,0.71
AST000094,APP8110270093,Apple,"MacBook Pro 14""",Monitor,2018-11-04,869.42,2023-11-03,North America,Finance,user1510,Retired,,,1011,0.0,0.0,Yes,5.99
AST000095,DEL4296570094,Dell,OptiPlex 7090,Desktop,2022-01-23,1184.6,2025-01-22,Europe,IT,user3255,Active,Windows 10,Encrypted,0,59.33,74.14,No,2.77
AST000096,HP5740010095,HP,ProLiant DL380,Server,2024-04-19,6726.56,2025-04-19,Latin America,IT,user4279,Active,,,4,65.76,43.95,No,0.53
AST000097,LEN9305410096,Lenovo,ThinkPad X1 Carbon,Monitor,2024-03-02,283.33,2025-03-02,Latin America,IT,user9335,Active,,,4,75.34,76.27,No,0.67
AST000098,LEN9633330097,Lenovo,ThinkCentre M90,Tablet,2023-03-30,859.92,2026-03-29,Europe,HR,user9612,Active,,Encrypted,2,59.78,35.6,No,1.59
AST000099,DEL2698340098,Dell,PowerEdge R740,Server,2023-10-21,8226.61,2024-10-20,Europe,HR,user9488,Active,,,2,69.91,38.39,No,1.03
AST000100,MIC8556380099,Microsoft,Surface Laptop 4,Monitor,2020-10-23,963.56,2025-10-22,Asia Pacific,Engineering,user3526,Active,,,4,28.14,49.68,No,4.02
AST000101,MIC6064040100,Microsoft,Surface Laptop 4,Laptop,2018-11-29,1581.18,2021-11-28,Latin America,HR,user9938,Active,macOS Sonoma,Encrypted,4,62.32,79.85,Yes,5.92
AST000102,DEL8976150101,Dell,Latitude 7420,Laptop,2022-12-06,1429.92,2023-12-06,North America,HR,user6658,Active,Windows 11,Encrypted,7,33.26,69.43,No,1.9
AST000103,APP8561570102,Apple,"MacBook Pro 16""",Laptop,2023-01-16,1731.1,2028-01-15,Europe,Sales,user3616,Active,Ubuntu 20.04,Encrypted,1,23.29,91.45,No,1.79
AST000104,APP8051880103,Apple,"MacBook Pro 16""",Server,2023-07-31,12617.63,2028-07-29,North America,Engineering,user9108,Active,,,6,52.85,92.83,No,1.25
AST000105,DEL6287500104,Dell,Latitude 7420,Server,2020-12-19,9503.54,,Asia Pacific,Engineering,user5728,In Storage,,,236,0.0,53.79,Yes,3.87
AST000106,MIC7317280105,Microsoft,Surface Laptop 4,Tablet,2019-06-12,1049.49,2020-06-11,North America,IT,user6990,Disposed,,Encrypted,986,0.0,0.0,Yes,5.39
AST000107,DEL9685240106,Dell,OptiPlex 7090,Desktop,2023-04-25,1058.74,2028-04-23,Latin America,Operations,user5902,Active,Ubuntu 20.04,Encrypted,2,59.41,63.51,No,1.52
AST000108,LEN7874360107,Lenovo,ThinkPad X1 Carbon,Server,2022-02-17,12829.04,2025-02-16,Europe,Operations,user1436,Active,,,1,83.69,67.94,No,2.7
AST000109,DEL2587870108,Dell,PowerEdge R740,Tablet,2019-11-30,730.37,2022-11-29,Europe,Sales,user1310,Active,,Encrypted,6,29.61,74.25,Yes,4.92
AST000110,MIC5819920109,Microsoft,Surface Go 3,Tablet,2018-09-13,1468.61,2019-09-13,Asia Pacific,Marketing,user7173,Retired,,Encrypted,1029,0.0,0.0,No,6.13
AST000111,LEN3173460110,Lenovo,ThinkSystem SR650,Monitor,2020-02-27,614.14,2025-02-25,Latin America,HR,user5876,Disposed,,,751,0.0,0.0,No,4.68
AST000112,APP1828680111,Apple,"MacBook Pro 16""",Monitor,2021-03-24,530.16,2026-03-23,Latin America,Operations,user1689,Active,,,6,78.22,55.64,Yes,3.61
AST000113,LEN6568370112,Lenovo,ThinkPad T14,Server,2020-04-07,7256.72,,Europe,IT,user4972,In Repair,,,15,27.99,75.25,Yes,4.57
AST000114,DEL8926300113,Dell,OptiPlex 7090,Server,2023-04-19,14639.14,2024-04-18,Asia Pacific,HR,user8793,Active,,,2,20.34,65.77,No,1.54
AST000115,DEL8853860114,Dell,Latitude 7420,Laptop,2024-01-01,2435.62,2024-12-31,Asia Pacific,IT,user7504,Active,Windows 10,Encrypted,0,79.36,41.38,No,0.83
AST000116,LEN7797760115,Lenovo,ThinkPad X1 Carbon,Tablet,2021-10-04,605.81,2024-10-03,Europe,IT,user6417,Active,,Encrypted,7,77.8,38.72,No,3.07
AST000117,LEN6006460116,Lenovo,ThinkPad T14,Monitor,2019-12-20,394.16,2020-12-19,Europe,IT,user2562,In Storage,,,357,0.0,88.31,No,4.87
AST000118,LEN4217090117,Lenovo,ThinkPad T14,Server,2023-01-04,6597.17,2026-01-03,Asia Pacific,Operations,user2017,Active,,,5,39.63,76.99,Yes,1.82
AST000119,DEL9657080118,Dell,OptiPlex 7090,Monitor,2020-06-23,331.05,2025-06-22,Europe,Operations,user8714,Active,,,2,51.08,59.57,No,4.36
AST000120,MIC9959930119,Microsoft,Surface Go 3,Laptop,2023-12-04,2189.95,2026-12-03,North America,Operations,user9792,Active,Windows 11,Encrypted,1,79.62,37.29,No,0.91
AST000121,MIC3668170120,Microsoft,Surface Laptop 4,Server,2023-09-22,17113.89,2026-09-21,Europe,Marketing,user6049,Active,,,0,49.47,63.36,No,1.11
AST000122,DEL7772550121,Dell,PowerEdge R740,Laptop,2021-11-12,2438.43,2026-11-11,Asia Pacific,Sales,user3218,Active,macOS Sonoma,Not Encrypted,0,80.75,34.49,No,2.97
AST000123,APP8062150122,Apple,"MacBook Pro 14""",Server,2024-01-18,15848.22,2027-01-17,Latin America,Marketing,user1372,Active,,,5,27.71,94.54,No,0.79
AST000124,APP2057970123,Apple,MacBook Air M1,Desktop,2023-03-02,1474.91,2024-03-01,Latin America,Marketing,user1256,Active,Ubuntu 22.04,Unknown,4,32.25,86.89,No,1.67
AST000125,DEL9581360124,Dell,Latitude 5420,Desktop,2022-07-06,888.6,2027-07-05,Asia Pacific,Finance,user6224,Active,Ubuntu 22.04,Encrypted,3,69.04,80.44,Yes,2.32
AST000126,MIC8301320125,Microsoft,Surface Go 3,Desktop,2021-05-15,1267.1,2024-05-14,Europe,HR,user7244,Active,macOS Sonoma,Encrypted,2,60.69,57.77,No,3.46
AST000127,HP3673820126,HP,ProLiant DL380,Tablet,2020-09-14,562.67,2021-09-14,North America,Sales,user9683,In Repair,,Not Encrypted,16,25.73,39.38,No,4.13
AST000128,LEN4179150127,Lenovo,ThinkPad T14,Laptop,2018-07-31,2426.93,2021-07-30,North America,Finance,user8854,Active,Windows 11,Encrypted,0,76.79,42.23,No,6.25
AST000129,DEL6377270128,Dell,Latitude 7420,Server,2024-10-11,13828.12,2027-10-11,Latin America,IT,user6886,Active,,,6,79.48,65.89,No,0.05
AST000130,APP4458880129,Apple,MacBook Air M1,Monitor,2022-02-27,439.41,2023-02-27,Europe,Sales,user7841,Active,,,0,56.56,44.38,Yes,2.67
AST000131,MIC2929880130,Microsoft,Surface Book 3,Monitor,2023-06-25,975.18,2026-06-24,North America,Marketing,user3293,Retired,,,431,0.0,0.0,No,1.35
AST000132,DEL1069330131,Dell,Latitude 5420,Laptop,2018-01-27,1704.76,2019-01-27,Latin America,IT,user8916,In Repair,Windows 10,Encrypted,27,6.94,75.97,Yes,6.76
AST000133,MIC3012550132,Microsoft,Surface Book 3,Monitor,2018-03-12,743.43,2019-03-12,Asia Pacific,Engineering,user2578,Retired,,,1943,0.0,0.0,No,6.64
AST000134,LEN8964830133,Lenovo,ThinkSystem SR650,Monitor,2018-11-20,219.01,2023-11-19,Latin America,Sales,user2320,In Storage,,,237,0.0,59.83,Yes,5.95
AST000135,APP6538150134,Apple,Mac Mini M1,Tablet,2018-08-18,1475.92,2019-08-18,Europe,Finance,user6427,Retired,,Encrypted,881,0.0,0.0,Yes,6.2
AST000136,MIC1164180135,Microsoft,Surface Book 3,Server,2018-07-10,18999.1,2021-07-09,Europe,Engineering,,Disposed,,,1328,0.0,0.0,No,6.31
AST000137,APP2467480136,Apple,"MacBook Pro 16""",Laptop,2019-10-28,2787.0,2024-10-26,North America,Marketing,user6435,Retired,Ubuntu 22.04,Encrypted,1340,0.0,0.0,No,5.01
AST000138,LEN6144350137,Lenovo,ThinkPad X1 Carbon,Laptop,2022-11-26,1187.84,2025-11-25,Latin America,Sales,user1485,Active,Windows 11,Encrypted,1,42.14,79.99,No,1.93
AST000139,MIC1959660138,Microsoft,Surface Laptop 4,Server,2021-04-24,6567.54,2022-04-24,Asia Pacific,Sales,user7383,In Repair,,,29,2.21,47.42,Yes,3.52
AST000140,LEN4060240139,Lenovo,ThinkPad X1 Carbon,Monitor,2019-06-27,448.29,2020-06-26,North America,Operations,user6315,Active,,,6,49.17,66.06,Yes,5.35
AST000141,MIC3639260140,Microsoft,Surface Pro 8,Desktop,2022-04-09,1884.74,2025-04-08,Latin America,Marketing,user8933,Active,Ubuntu 20.04,Encrypted,4,39.57,62.05,Yes,2.56
AST000142,HP7232660141,HP,EliteBook 840,Server,2019-07-09,6361.24,2024-07-07,Asia Pacific,Marketing,user6484,In Storage,,,232,0.0,51.59,No,5.31
AST000143,HP9561560142,HP,EliteDesk 800,Server,2019-12-29,12858.67,2022-12-28,Asia Pacific,IT,user4971,Disposed,,,833,0.0,0.0,Yes,4.84
AST000144,MIC7641000143,Microsoft,Surface Pro 8,Desktop,2024-03-03,1134.31,2025-03-03,Asia Pacific,Operations,user7703,Active,Windows 11,Encrypted,7,81.29,43.63,No,0.66
AST000145,APP8357160144,Apple,"MacBook Pro 14""",Server,2023-01-14,18141.52,2026-01-13,North America,IT,user7853,Disposed,,,425,0.0,0.0,No,1.8
AST000146,HP3713060145,HP,ProBook 450,Monitor,2018-07-01,333.2,,Europe,Sales,user2735,Retired,,,1816,0.0,0.0,No,6.34
AST000147,LEN2485570146,Lenovo,ThinkSystem SR650,Server,2024-08-07,8483.29,2029-08-06,Asia Pacific,Sales,user2901,Active,,,2,42.42,31.6,No,0.23
AST000148,HP9389130147,HP,ProLiant DL380,Tablet,2021-11-27,531.48,2026-11-26,Europe,Marketing,user6620,Active,,Unknown,7,66.93,59.41,Yes,2.93
AST000149,HP5714130148,HP,ProBook 450,Tablet,2021-09-17,873.76,2022-09-17,Latin America,IT,user1478,Active,,Encrypted,7,35.07,56.33,Yes,3.12
AST000150,HP4286280149,HP,EliteDesk 800,Desktop,2018-09-14,1137.27,2023-09-13,Latin America,Marketing,user9019,Retired,Windows 10,Encrypted,945,0.0,0.0,Yes,6.13
AST000151,LEN4914390150,Lenovo,ThinkSystem SR650,Monitor,2019-12-08,616.06,2020-12-07,Latin America,Sales,user4908,In Repair,,,29,24.02,89.71,No,4.9
